repoName,repoCreatedAt,totalCommits,totalContribuors,commits
mastery-api,2019-05-06T23:18:34Z,9,4,"[{""author"":""mastery-kartik-saxena"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":456,""deletions"":12,""commitCount"":3}]},{""author"":""mastery-shams-baig"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":5,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":26,""deletions"":7,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":22,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-divyanshu-sharma"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":17,""deletions"":0,""commitCount"":2}]},{""author"":""mastery-shashi-ranjan"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":19,""deletions"":0,""commitCount"":1}]}]"
mastery-credit,2021-04-13T14:45:12Z,1,1,"[{""author"":""JTNDBound"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":50,""deletions"":4,""commitCount"":1}]}]"
procurement-api,2020-08-26T13:22:41Z,8,4,"[{""author"":""phil-thelen-mls"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":2,""deletions"":2,""commitCount"":1}]},{""author"":""jsheets"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":553,""deletions"":122,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":3,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":2232,""deletions"":1271,""commitCount"":1}]},{""author"":""mattnohelty-mastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":270,""deletions"":190,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":585,""deletions"":39,""commitCount"":2}]},{""author"":""renovate[bot]"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":106,""deletions"":33,""commitCount"":1}]}]"
minion-api,2020-09-10T15:14:52Z,0,0,[]
alchemy-carrier-capacity,2022-07-18T21:39:42Z,3,1,"[{""author"":""JaxsonJohnstonMastery"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1176,""deletions"":15,""commitCount"":3}]}]"
release-test-automation,2020-09-14T12:25:15Z,257,23,"[{""author"":""Mastery-Prashant-Bhosale"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":290,""deletions"":19,""commitCount"":6},{""committedDate"":""2022-09-08"",""additions"":982,""deletions"":36,""commitCount"":13},{""committedDate"":""2022-09-06"",""additions"":76,""deletions"":67,""commitCount"":9},{""committedDate"":""2022-09-05"",""additions"":7,""deletions"":5,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":643,""deletions"":22,""commitCount"":10}]},{""author"":""mastery-tushar-puranik"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":495,""deletions"":140,""commitCount"":6},{""committedDate"":""2022-09-08"",""additions"":453,""deletions"":8,""commitCount"":3},{""committedDate"":""2022-09-06"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":691,""deletions"":32,""commitCount"":8}]},{""author"":""Pooja.Khurana@emtecinc.com"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":145,""deletions"":71,""commitCount"":2},{""committedDate"":""2022-09-08"",""additions"":588,""deletions"":15,""commitCount"":3},{""committedDate"":""2022-09-06"",""additions"":53,""deletions"":47,""commitCount"":2}]},{""author"":""mastery-akshay-padhen"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":360,""deletions"":428,""commitCount"":2},{""committedDate"":""2022-09-08"",""additions"":423,""deletions"":0,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":2,""deletions"":1,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":188,""deletions"":10,""commitCount"":3}]},{""author"":""mastery-madhavi-kotwal"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":229,""deletions"":79,""commitCount"":4},{""committedDate"":""2022-09-08"",""additions"":384,""deletions"":25,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":5,""deletions"":5,""commitCount"":2}]},{""author"":""Mastery-Paresh-Patil"",""commits"":[{""committedDate"":""2022-09-10"",""additions"":27,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":369,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-09"",""additions"":894,""deletions"":36,""commitCount"":5},{""committedDate"":""2022-09-07"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":31,""deletions"":1,""commitCount"":1}]},{""author"":""Tushar.Patil@emtecinc.com"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":27,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":39,""deletions"":1,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":5,""deletions"":5,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":28,""deletions"":0,""commitCount"":1}]},{""author"":""mastery-vishal-phadtare"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":36,""deletions"":1,""commitCount"":2},{""committedDate"":""2022-09-08"",""additions"":674,""deletions"":35,""commitCount"":4},{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":5,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":439,""deletions"":24,""commitCount"":3}]},{""author"":""mastery-jayesh-pardeshi"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":36,""deletions"":1,""commitCount"":2},{""committedDate"":""2022-09-08"",""additions"":467,""deletions"":23,""commitCount"":4},{""committedDate"":""2022-09-02"",""additions"":809,""deletions"":37,""commitCount"":7}]},{""author"":""alcortes5"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":10,""deletions"":5,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":3,""deletions"":2,""commitCount"":2},{""committedDate"":""2022-09-07"",""additions"":4,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""Tagatakboako"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":64405,""deletions"":64397,""commitCount"":5},{""committedDate"":""2022-09-08"",""additions"":37,""deletions"":28,""commitCount"":7},{""committedDate"":""2022-09-07"",""additions"":39,""deletions"":18,""commitCount"":5},{""committedDate"":""2022-09-02"",""additions"":5,""deletions"":5,""commitCount"":1}]},{""author"":""aamin219"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":115,""deletions"":397,""commitCount"":3},{""committedDate"":""2022-09-08"",""additions"":8,""deletions"":7,""commitCount"":5},{""committedDate"":""2022-09-07"",""additions"":118,""deletions"":29,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":12,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":21,""deletions"":37,""commitCount"":3}]},{""author"":""whettenjosh"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":11,""deletions"":12,""commitCount"":4},{""committedDate"":""2022-09-08"",""additions"":126,""deletions"":408,""commitCount"":12},{""committedDate"":""2022-09-07"",""additions"":42,""deletions"":18,""commitCount"":8},{""committedDate"":""2022-09-06"",""additions"":118,""deletions"":29,""commitCount"":8},{""committedDate"":""2022-09-03"",""additions"":111,""deletions"":110,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":18,""deletions"":12,""commitCount"":6}]},{""author"":""sydney143"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":8,""deletions"":4,""commitCount"":3},{""committedDate"":""2022-09-07"",""additions"":1,""deletions"":12,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":19,""deletions"":13,""commitCount"":1}]},{""author"":""mastery-akash-dinga"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1495,""deletions"":76,""commitCount"":4},{""committedDate"":""2022-09-06"",""additions"":80,""deletions"":69,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":1921,""deletions"":114,""commitCount"":12}]},{""author"":""Prashant.Vidhate@emtecinc.com"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1287,""deletions"":34,""commitCount"":5},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":64,""deletions"":1,""commitCount"":1}]},{""author"":""Mayur.Surawase@emtecinc.com"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":749,""deletions"":17,""commitCount"":2},{""committedDate"":""2022-09-06"",""additions"":6,""deletions"":5,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":104,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-pooja-khurana"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":102,""deletions"":1,""commitCount"":1}]},{""author"":""mastery-suman-naik"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":730,""deletions"":28,""commitCount"":7},{""committedDate"":""2022-09-06"",""additions"":23,""deletions"":17,""commitCount"":2},{""committedDate"":""2022-09-05"",""additions"":2,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":709,""deletions"":35,""commitCount"":3}]},{""author"":""mastery-prashant-vidhate"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":2,""deletions"":2,""commitCount"":1}]},{""author"":""cj-johnsonjr"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":5,""deletions"":5,""commitCount"":2},{""committedDate"":""2022-09-03"",""additions"":1492,""deletions"":217,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":16,""commitCount"":1}]},{""author"":""jdale9930"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":3,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":5,""deletions"":5,""commitCount"":2}]},{""author"":""Shubham.Salunkhe@emtecinc.com"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":5,""deletions"":4,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":809,""deletions"":85,""commitCount"":2}]}]"
infinity-train-utils,2021-04-30T16:28:02Z,0,0,[]
Data-PowerBI,2021-11-19T16:03:39Z,0,0,[]
lachesis-api,2020-06-02T05:32:18Z,13,3,"[{""author"":""mastery-mayank-shevgaonkar"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":86,""deletions"":0,""commitCount"":1},{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":51,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":1,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":41,""deletions"":2,""commitCount"":2},{""committedDate"":""2022-09-05"",""additions"":596,""deletions"":834,""commitCount"":2}]},{""author"":""hannahmcdoniel"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":101,""commitCount"":4}]},{""author"":""dbauswel"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":541,""deletions"":833,""commitCount"":2}]}]"
postings-functions,2020-08-14T22:47:57Z,11,2,"[{""author"":""JoshWolfson"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":34,""deletions"":28,""commitCount"":9}]},{""author"":""benmc-mastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":44,""deletions"":4,""commitCount"":2}]}]"
mastery-infra-release,2021-07-01T15:30:22Z,0,0,[]
noc-mastermind-dashboards,2021-05-27T16:41:40Z,22,3,"[{""author"":""mastery-akshay-bhole"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":419,""deletions"":65,""commitCount"":6},{""committedDate"":""2022-09-02"",""additions"":123,""deletions"":7,""commitCount"":4}]},{""author"":""mastery-jatin-keswani"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":92,""deletions"":70,""commitCount"":2},{""committedDate"":""2022-09-02"",""additions"":128,""deletions"":10,""commitCount"":2}]},{""author"":""servanh"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":37,""deletions"":7,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":263,""deletions"":33,""commitCount"":7}]}]"
tracking,2020-05-21T21:49:32Z,4,3,"[{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":2,""commitCount"":1}]},{""author"":""shanemcfadden"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":677,""deletions"":572,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":12,""commitCount"":1}]}]"
typescript_kafka_schemas,2020-12-22T20:50:07Z,0,0,[]
minion-validator,2020-09-25T22:24:57Z,0,0,[]
mastery-ingress-model,2020-07-14T15:37:37Z,0,0,[]
mastery-west-core,2021-01-18T15:51:35Z,0,0,[]
release-train-simple-image,2021-02-10T20:48:22Z,0,0,[]
mileage-provider-api,2021-03-09T16:12:11Z,0,0,[]
procurement-data-lifecycle-jobs,2021-12-22T16:02:38Z,0,0,[]
GitHub-Actions-Testing-Ground,2020-08-21T17:38:01Z,0,0,[]
procurement-tour-builder,2021-07-12T05:34:01Z,1,1,"[{""author"":""renovate[bot]"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":656,""deletions"":603,""commitCount"":1}]}]"
truck-entry-service,2020-10-13T19:50:38Z,3,2,"[{""author"":""mastery-nupura-adkar"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":25,""deletions"":10,""commitCount"":1}]},{""author"":""JozyL27"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":2,""deletions"":2,""commitCount"":2}]}]"
stop-execution-events,2021-02-03T22:13:49Z,6,5,"[{""author"":""njsaeli"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":880,""deletions"":496,""commitCount"":1}]},{""author"":""mikehkaiser"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":333,""deletions"":316,""commitCount"":1}]},{""author"":""Peter-Morrissey"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":190,""deletions"":113,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":12,""commitCount"":2}]},{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":3,""commitCount"":1}]}]"
kingpin-keyvault,2021-08-13T17:00:33Z,0,0,[]
k8s-examples,2021-03-24T18:03:16Z,0,0,[]
molo-ab-spot-pricing,2021-03-18T14:46:36Z,0,0,[]
gh-action-node-env-setup,2022-06-04T15:59:17Z,0,0,[]
mastery-commissions,2020-12-30T22:41:52Z,0,0,[]
timeline-events,2021-02-18T21:10:29Z,3,2,"[{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":3,""deletions"":13,""commitCount"":2}]},{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":1,""deletions"":2,""commitCount"":1}]}]"
procurement-smoke-tests,2022-08-12T14:09:55Z,0,0,[]
imdl-service,2022-01-11T12:02:46Z,2,1,"[{""author"":""mastery-ankush-jain"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":17,""deletions"":13,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":17,""deletions"":13,""commitCount"":1}]}]"
mastery-exchange-online,2022-05-11T20:45:52Z,4,1,"[{""author"":""bschoenhardt"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":6,""deletions"":1,""commitCount"":2},{""committedDate"":""2022-09-07"",""additions"":47,""deletions"":11,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":22,""deletions"":11,""commitCount"":1}]}]"
3pi-tracking-truckertools-api,2021-03-01T14:24:35Z,3,2,"[{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":142,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":2,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":0,""deletions"":20,""commitCount"":1}]}]"
3pi-tracking-project44,2021-09-01T09:47:22Z,6,4,"[{""author"":""mastery-vishal-singh"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":90,""deletions"":2,""commitCount"":1}]},{""author"":""mastery-ankit-francis"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":0,""commitCount"":1}]},{""author"":""dependabot[bot]"",""commits"":[{""committedDate"":""2022-09-04"",""additions"":3,""deletions"":3,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":6,""deletions"":1,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":25,""deletions"":14,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":1170,""deletions"":0,""commitCount"":1}]}]"
docker-postgis,2020-01-07T17:20:44Z,0,0,[]
spike-dotnet-graphql,2021-04-14T13:29:02Z,0,0,[]
noc-mastermind-observability-v2,2021-09-27T16:27:05Z,0,0,[]
route66-newrelic-terraform,2021-06-18T03:39:53Z,4,1,"[{""author"":""mattnohelty-mastery"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":75,""deletions"":23,""commitCount"":3},{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":2,""commitCount"":1}]}]"
mastery-crm-service,2021-01-12T09:24:34Z,0,0,[]
trailer-microservice,2021-08-31T15:18:44Z,0,0,[]
mastery-monitoring,2021-03-11T15:52:55Z,0,0,[]
terraform-mastery-sqlserver-monitors,2022-05-12T14:44:06Z,0,0,[]
molo_price_matrix,2020-08-06T13:11:51Z,0,0,[]
mastery-central-automation,2021-05-24T14:02:25Z,0,0,[]
lachesis-ts-module-template,2020-06-19T15:27:14Z,0,0,[]
mastery-carrierrisk-integration-service,2020-07-20T10:41:44Z,2,1,"[{""author"":""mastery-bhaskar-sharma"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":26,""deletions"":17,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":25,""deletions"":8,""commitCount"":1}]}]"
kafka-publish-docker,2021-08-09T19:33:30Z,0,0,[]
mastermind-secrets,2022-06-29T14:42:49Z,6,2,"[{""author"":""sethgupton-mastery"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":12,""deletions"":27,""commitCount"":4}]},{""author"":""mastery-shaifali-silawat"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":2,""deletions"":2,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":620,""deletions"":102,""commitCount"":1}]}]"
mastery-prototype,2019-01-25T15:41:50Z,0,0,[]
mastery-auth-nodejs,2020-06-30T18:16:15Z,0,0,[]
lachesis-fastify-jwt,2020-07-16T15:49:26Z,0,0,[]
mastery-customer-portal,2020-08-21T18:23:16Z,0,0,[]
team-monkey-wrench,2022-06-10T14:45:08Z,2,2,"[{""author"":""Jensen-Koch"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1}]},{""author"":""“jensen.koch@mastery.net”"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":11,""deletions"":11,""commitCount"":1}]}]"
development,2019-05-29T22:40:04Z,0,0,[]
powerbi-reports,2022-01-20T12:43:39Z,0,0,[]
data-orchestration,2021-02-04T14:45:19Z,0,0,[]
caen-locking-service,2020-07-27T15:29:16Z,0,0,[]
3pi-tracking-macropoint,2021-07-13T16:07:52Z,3,2,"[{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":247,""deletions"":14,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":2,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":0,""deletions"":14,""commitCount"":1}]}]"
hewwo,2020-06-12T13:41:12Z,0,0,[]
mastery-document-integration-service,2020-08-10T09:21:28Z,0,0,[]
schema-registry-redirect,2022-07-01T02:33:42Z,0,0,[]
mastery-postings,2020-09-15T13:22:18Z,1,1,"[{""author"":""JoshWolfson"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":3,""deletions"":2,""commitCount"":1}]}]"
saved-filters,2022-07-08T07:16:35Z,10,5,"[{""author"":""mastery-preeti-bhambhani"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":3,""deletions"":3,""commitCount"":2}]},{""author"":""StephenMP"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":3,""deletions"":3,""commitCount"":2}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":589,""deletions"":8,""commitCount"":1},{""committedDate"":""2022-09-02"",""additions"":2,""deletions"":11,""commitCount"":1}]},{""author"":""dependabot[bot]"",""commits"":[{""committedDate"":""2022-09-04"",""additions"":183,""deletions"":76,""commitCount"":1},{""committedDate"":""2022-09-03"",""additions"":4,""deletions"":9,""commitCount"":1}]},{""author"":""daniel-vitelli"",""commits"":[{""committedDate"":""2022-09-03"",""additions"":109,""deletions"":109,""commitCount"":1}]}]"
slack-api-service,2022-06-08T20:41:42Z,6,4,"[{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":4,""deletions"":2,""commitCount"":1}]},{""author"":""adanyal-mastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":412,""deletions"":394,""commitCount"":1}]},{""author"":""“ext.arbab.danyal@mastery.net”"",""commits"":[{""committedDate"":""2022-09-04"",""additions"":221,""deletions"":53,""commitCount"":2}]},{""author"":""ext.sannija.sadu@mastery.net"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":91,""deletions"":493,""commitCount"":2}]}]"
lachesis-config,2020-06-19T18:17:42Z,0,0,[]
prometheus,2020-10-19T14:36:15Z,0,0,[]
master-bid,2022-05-18T11:19:37Z,14,3,"[{""author"":""sarath-mastery"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":342,""deletions"":107,""commitCount"":2}]},{""author"":""santhan-mastery"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":290,""deletions"":80,""commitCount"":1}]},{""author"":""saikiran-mastery"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":71,""deletions"":46,""commitCount"":4},{""committedDate"":""2022-09-05"",""additions"":293,""deletions"":83,""commitCount"":7}]}]"
sqlserver-gql-endpoint,2021-07-07T16:10:32Z,2,2,"[{""author"":""mkelchner"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":18,""deletions"":18,""commitCount"":1}]},{""author"":""andrewhessler"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":22,""deletions"":5,""commitCount"":1}]}]"
documents-service-node-spike,2020-03-10T22:40:46Z,0,0,[]
trailer-execution-out-of-route,2021-03-30T20:54:05Z,0,0,[]
location-services-api,2021-01-19T20:38:30Z,0,0,[]
facility-sublocation,2022-06-27T12:45:09Z,0,0,[]
tf-cloud-admin,2021-04-20T20:30:10Z,8,4,"[{""author"":""cg-mls"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":29,""deletions"":8,""commitCount"":2}]},{""author"":""sean-mcginn"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":18,""deletions"":72,""commitCount"":2}]},{""author"":""chrisluedtke"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":16,""deletions"":16,""commitCount"":3}]},{""author"":""ikemhaffner1"",""commits"":[{""committedDate"":""2022-09-05"",""additions"":20,""deletions"":12,""commitCount"":1}]}]"
driver-microservice,2021-08-31T15:12:49Z,1,1,"[{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":1,""commitCount"":1}]}]"
load,2020-12-09T18:40:39Z,12,4,"[{""author"":""mastery-henal-merchant"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":1080,""deletions"":56,""commitCount"":3},{""committedDate"":""2022-09-08"",""additions"":1,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":528,""deletions"":118,""commitCount"":3}]},{""author"":""renovate[bot]"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":10,""deletions"":10,""commitCount"":2}]},{""author"":""hersman"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":2,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-06"",""additions"":15,""deletions"":129,""commitCount"":1}]},{""author"":""mastery-nikhil-attar"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":244,""deletions"":7,""commitCount"":1}]}]"
newrelic-terraform-template,2021-08-03T02:36:53Z,0,0,[]
loadex-documentation,2022-03-18T12:12:16Z,0,0,[]
alchemy-pattern,2021-10-13T21:20:54Z,9,3,"[{""author"":""will-fleener"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":20,""deletions"":1,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":29,""deletions"":8,""commitCount"":1}]},{""author"":""masteryangel"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":19,""deletions"":8,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":19,""deletions"":8,""commitCount"":3},{""committedDate"":""2022-09-02"",""additions"":62,""deletions"":54,""commitCount"":2}]},{""author"":""matthewbegleymastery"",""commits"":[{""committedDate"":""2022-09-07"",""additions"":154,""deletions"":63,""commitCount"":1}]}]"
terraform-mastery-kowl,2021-10-13T15:51:49Z,0,0,[]
mastery-data-engineering-deployment,2021-08-10T19:24:02Z,0,0,[]
konductor,2021-03-30T18:04:04Z,1,1,"[{""author"":""mastery-hemant-bhosale"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":721,""deletions"":416,""commitCount"":1}]}]"
customer-commitments,2022-03-22T06:03:23Z,4,2,"[{""author"":""mastery-afreen-tamboli"",""commits"":[{""committedDate"":""2022-09-09"",""additions"":774,""deletions"":261,""commitCount"":1},{""committedDate"":""2022-09-05"",""additions"":128,""deletions"":4,""commitCount"":1}]},{""author"":""mastery-bhushan-gite"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":109,""deletions"":93,""commitCount"":1},{""committedDate"":""2022-09-07"",""additions"":5,""deletions"":1,""commitCount"":1}]}]"
tracking-contrib,2020-10-22T16:09:42Z,0,0,[]
global-github-actions,2022-03-29T14:04:59Z,0,0,[]
linked-routes,2021-04-26T18:35:33Z,2,2,"[{""author"":""seandanmls"",""commits"":[{""committedDate"":""2022-09-06"",""additions"":1,""deletions"":2,""commitCount"":1}]},{""author"":""masterybot"",""commits"":[{""committedDate"":""2022-09-02"",""additions"":0,""deletions"":12,""commitCount"":1}]}]"
event-driven-architecture,2021-10-27T15:33:45Z,1,1,"[{""author"":""immutablesemaphore"",""commits"":[{""committedDate"":""2022-09-08"",""additions"":234,""deletions"":0,""commitCount"":1}]}]"
local-gateway,2020-06-08T14:59:20Z,0,0,[]
mastery-keyvault-optimus-prime,2021-09-30T19:44:30Z,0,0,[]
tendering-email-service,2021-06-21T05:34:09Z,0,0,[]
Sendgrid-monitor,2022-04-18T19:59:59Z,0,0,[]
terraform-mastery-networking,2021-08-02T16:01:30Z,0,0,[]
